metric,segment,device,n,c
conversion,organic,mobile,5000,220
activation,organic,mobile,5000,1500
conversion,organic,desktop,5000,220
activation,organic,desktop,5000,1500
conversion,paid,mobile,3000,192
activation,paid,mobile,3000,960
conversion,paid,desktop,3000,192
activation,paid,desktop,3000,960
conversion,referral,mobile,1500,111
activation,referral,mobile,1500,420
conversion,referral,desktop,1500,111
activation,referral,desktop,1500,420
conversion,email,mobile,500,57
activation,email,mobile,500,175
conversion,email,desktop,500,57
activation,email,desktop,500,175
